month,year,days,report_date,journey_type,journeys_millions
1,2010,31,6/30/2010,Underground & DLR,96.836391
2,2010,28,6/30/2010,Underground & DLR,90.330504
3,2010,31,6/30/2010,Underground & DLR,90.038014
4,2010,30,9/30/2010,Underground & DLR,92.544093
5,2010,31,9/30/2010,Underground & DLR,88.662911
6,2010,30,9/30/2010,Underground & DLR,86.375702
7,2010,31,12/31/2010,Underground & DLR,94.986035
8,2010,31,12/31/2010,Underground & DLR,97.024794
9,2010,30,12/31/2010,Underground & DLR,97.02964
10,2010,31,3/31/2011,Underground & DLR,77.369979
11,2010,30,3/31/2011,Underground & DLR,90.691294
12,2010,31,3/31/2011,Underground & DLR,94.256232
1,2011,31,6/30/2011,Underground & DLR,97.636772
2,2011,28,6/30/2011,Underground & DLR,94.102943
3,2011,31,6/30/2011,Underground & DLR,94.989396
4,2011,30,9/30/2011,Underground & DLR,98.906302
5,2011,31,9/30/2011,Underground & DLR,91.711009
6,2011,30,9/30/2011,Underground & DLR,91.718618
7,2011,31,12/31/2011,Underground & DLR,100.586573
8,2011,31,12/31/2011,Underground & DLR,103.131635
9,2011,30,12/31/2011,Underground & DLR,104.193673
10,2011,31,3/31/2012,Underground & DLR,84.500971
11,2011,30,3/31/2012,Underground & DLR,96.705487
12,2011,31,3/31/2012,Underground & DLR,98.464276
1,2012,31,6/30/2012,Underground & DLR,95.639307
2,2012,29,6/30/2012,Underground & DLR,99.963822
3,2012,31,6/30/2012,Underground & DLR,96.641371
4,2012,30,9/30/2012,Underground & DLR,104.835566
5,2012,31,9/30/2012,Underground & DLR,113.629053
6,2012,30,9/30/2012,Underground & DLR,102.62848
7,2012,31,12/31/2012,Underground & DLR,105.880217
8,2012,31,12/31/2012,Underground & DLR,108.393186
9,2012,30,12/31/2012,Underground & DLR,109.58717
10,2012,31,3/31/2013,Underground & DLR,84.72738
11,2012,30,3/31/2013,Underground & DLR,98.970876
12,2012,31,3/31/2013,Underground & DLR,104.252694
1,2013,31,6/30/2013,Underground & DLR,99.742751
2,2013,28,6/30/2013,Underground & DLR,105.064674
3,2013,31,6/30/2013,Underground & DLR,103.536402
4,2013,30,9/30/2013,Underground & DLR,108.844113
5,2013,31,9/30/2013,Underground & DLR,101.633104
6,2013,30,9/30/2013,Underground & DLR,98.157073
7,2013,31,12/31/2013,Underground & DLR,109.381377
8,2013,31,12/31/2013,Underground & DLR,111.972968
9,2013,30,12/31/2013,Underground & DLR,114.565174
10,2013,31,3/31/2014,Underground & DLR,90.359862
11,2013,30,3/31/2014,Underground & DLR,104.594048
12,2013,31,3/31/2014,Underground & DLR,102.576852
1,2014,31,6/30/2014,Underground & DLR,96.357471
2,2014,28,6/30/2014,Underground & DLR,100.521703
3,2014,31,6/30/2014,Underground & DLR,106.492343
4,2014,30,9/30/2014,Underground & DLR,110.869658
5,2014,31,9/30/2014,Underground & DLR,105.429246
6,2014,30,9/30/2014,Underground & DLR,101.32658
7,2014,31,12/31/2014,Underground & DLR,112.790141
8,2014,31,12/31/2014,Underground & DLR,117.76628
9,2014,30,12/31/2014,Underground & DLR,120.340441
10,2014,31,3/31/2015,Underground & DLR,93.940822
11,2014,30,3/31/2015,Underground & DLR,108.775243
12,2014,31,3/31/2015,Underground & DLR,114.745201
1,2015,31,6/30/2015,Underground & DLR,123.854862
2,2015,28,6/30/2015,Underground & DLR,110.936398
3,2015,31,6/30/2015,Underground & DLR,114.905598
4,2015,30,9/30/2015,Underground & DLR,110.305738
5,2015,31,9/30/2015,Underground & DLR,103.520224
6,2015,30,9/30/2015,Underground & DLR,106.33575
7,2015,31,12/31/2015,Underground & DLR,121.262624
8,2015,31,12/31/2015,Underground & DLR,121.557055
9,2015,30,12/31/2015,Underground & DLR,123.446096
10,2015,31,3/31/2016,Underground & DLR,92.48038
11,2015,30,3/31/2016,Underground & DLR,116.094103
12,2015,31,3/31/2016,Underground & DLR,118.764537
1,2016,31,6/30/2016,Underground & DLR,124.532292
2,2016,29,6/30/2016,Underground & DLR,115.246411
3,2016,31,6/30/2016,Underground & DLR,113.418753
4,2016,30,9/30/2016,Underground & DLR,118.431455
5,2016,31,9/30/2016,Underground & DLR,110.056502
6,2016,30,9/30/2016,Underground & DLR,107.509383
7,2016,31,12/31/2016,Underground & DLR,120.007953
8,2016,31,12/31/2016,Underground & DLR,122.670047
9,2016,30,12/31/2016,Underground & DLR,126.716029
10,2016,31,3/31/2017,Underground & DLR,96.576486
11,2016,30,3/31/2017,Underground & DLR,111.459421
12,2016,31,3/31/2017,Underground & DLR,118.016268
1,2017,31,6/30/2017,Underground & DLR,114.270657
2,2017,28,6/30/2017,Underground & DLR,115.492774
3,2017,31,6/30/2017,Underground & DLR,110.764295
4,2017,30,9/30/2017,Underground & DLR,118.545263
5,2017,31,9/30/2017,Underground & DLR,110.19564
6,2017,30,9/30/2017,Underground & DLR,105.090891
7,2017,31,12/31/2017,Underground & DLR,118.208597
8,2017,31,12/31/2017,Underground & DLR,120.466421
9,2017,30,12/31/2017,Underground & DLR,124.902346
10,2017,31,3/31/2018,Underground & DLR,95.106804
11,2017,30,3/31/2018,Underground & DLR,114.734579
12,2017,31,3/31/2018,Underground & DLR,114.511973
1,2018,31,6/30/2018,Underground & DLR,112.911408
2,2018,28,6/30/2018,Underground & DLR,115.311919
3,2018,31,6/30/2018,Underground & DLR,113.616628
4,2018,30,9/30/2018,Underground & DLR,118.68207
5,2018,31,9/30/2018,Underground & DLR,109.324493
6,2018,30,9/30/2018,Underground & DLR,106.126856
7,2018,31,12/31/2018,Underground & DLR,119.449916
8,2018,31,12/31/2018,Underground & DLR,122.842765
9,2018,30,12/31/2018,Underground & DLR,128.155995
10,2018,31,3/31/2019,Underground & DLR,99.403859
11,2018,30,3/31/2019,Underground & DLR,116.048843
12,2018,31,3/31/2019,Underground & DLR,120.541387
1,2019,31,6/30/2019,Underground & DLR,110.027278
2,2019,28,6/30/2019,Underground & DLR,115.845743
3,2019,31,6/30/2019,Underground & DLR,117.267721
4,2019,30,9/30/2019,Underground & DLR,121.383085
5,2019,31,9/30/2019,Underground & DLR,112.115159
6,2019,30,9/30/2019,Underground & DLR,108.126694
7,2019,31,12/31/2019,Underground & DLR,121.774112
8,2019,31,12/31/2019,Underground & DLR,123.235676
9,2019,30,12/31/2019,Underground & DLR,127.3912
10,2019,31,3/31/2020,Underground & DLR,98.713015
11,2019,30,3/31/2020,Underground & DLR,115.035966
12,2019,31,3/31/2020,Underground & DLR,115.52339
1,2020,31,6/30/2020,Underground & DLR,6.950757
2,2020,29,6/30/2020,Underground & DLR,8.041099
3,2020,31,6/30/2020,Underground & DLR,15.440623
4,2020,30,9/30/2020,Underground & DLR,25.160604
5,2020,31,9/30/2020,Underground & DLR,32.354507
6,2020,30,9/30/2020,Underground & DLR,40.481659
7,2020,31,12/31/2020,Underground & DLR,43.960234
8,2020,31,12/31/2020,Underground & DLR,37.812272
9,2020,30,12/31/2020,Underground & DLR,36.13152
10,2020,31,3/31/2021,Underground & DLR,21.571239
11,2020,30,3/31/2021,Underground & DLR,19.413063
12,2020,31,3/31/2021,Underground & DLR,22.861739
1,2021,31,6/30/2021,Underground & DLR,42.264037
2,2021,28,6/30/2021,Underground & DLR,47.467834
3,2021,31,6/30/2021,Underground & DLR,54.123938
4,2021,30,9/30/2021,Underground & DLR,54.948535
5,2021,31,9/30/2021,Underground & DLR,57.120255
6,2021,30,9/30/2021,Underground & DLR,64.109971
7,2021,31,12/31/2021,Underground & DLR,76.821036
8,2021,31,12/31/2021,Underground & DLR,80.853944
9,2021,30,12/31/2021,Underground & DLR,82.786471
10,2021,31,3/31/2022,Underground & DLR,49.910202
11,2021,30,3/31/2022,Underground & DLR,66.107118
12,2021,31,3/31/2022,Underground & DLR,71.939205
1,2022,31,6/30/2022,Underground & DLR,86.302684
2,2022,28,6/30/2022,Underground & DLR,87.75874
3,2022,31,6/30/2022,Underground & DLR,78.384852
4,2022,30,9/30/2022,Underground & DLR,87.779074
5,2022,31,9/30/2022,Underground & DLR,80.317456
6,2022,30,9/30/2022,Underground & DLR,86.081415
7,2022,31,12/31/2022,Underground & DLR,95.773073
8,2022,31,12/31/2022,Underground & DLR,95.31414
9,2022,30,12/31/2022,Underground & DLR,102.666916
10,2022,31,3/31/2023,Underground & DLR,74.262699
11,2022,30,3/31/2023,Underground & DLR,92.618811
12,2022,31,3/31/2023,Underground & DLR,97.599149
5,2010,31,9/30/2010,Bus,160.422767
10,2010,31,3/31/2011,Bus,140.051899
5,2011,31,9/30/2011,Bus,161.06508
10,2011,31,3/31/2012,Bus,151.192029
10,2012,31,3/31/2013,Bus,151.936327
10,2013,31,3/31/2014,Bus,155.130408
1,2014,31,6/30/2014,Bus,164.112898
10,2014,31,3/31/2015,Bus,156.804246
5,2015,31,9/30/2015,Bus,162.292765
10,2015,31,3/31/2016,Bus,147.103923
5,2016,31,9/30/2016,Bus,155.321431
10,2016,31,3/31/2017,Bus,145.754936
5,2017,31,9/30/2017,Bus,155.101885
10,2017,31,3/31/2018,Bus,145.061734
5,2018,31,9/30/2018,Bus,151.501564
6,2018,30,9/30/2018,Bus,162.128235
10,2018,31,3/31/2019,Bus,144.857876
1,2019,31,6/30/2019,Bus,156.63758
5,2019,31,9/30/2019,Bus,149.823237
6,2019,30,9/30/2019,Bus,159.778183
10,2019,31,3/31/2020,Bus,140.987997
1,2020,31,6/30/2020,Bus,30.223736
2,2020,29,6/30/2020,Bus,32.467243
3,2020,31,6/30/2020,Bus,46.95952
4,2020,30,9/30/2020,Bus,66.665795
5,2020,31,9/30/2020,Bus,75.17396
