STAGE,DATE,PENS,PENS_HOME_SCORE,PENS_AWAY_SCORE,TEAM_NAME_HOME,TEAM_NAME_AWAY,TEAM_HOME_SCORE,TEAM_AWAY_SCORE,POSSESSION_HOME,POSSESSION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,PREDICTION_TEAM_HOME_WIN,PREDICTION_DRAW,PREDICTION_TEAM_AWAY_WIN,LOCATION
 Final , 29-05-2021 ,FALSE,FALSE,FALSE, Manchester City , Chelsea ,0,1,61%,39%,7,8,1,2,50%,50%,55%,3%,42%, Estádio Do Dragão 
 Semi-finals second leg , 05-05-2021 ,FALSE,FALSE,FALSE, Chelsea , Real Madrid ,2,0,32%,68%,15,7,5,5,52%,49%,43%,3%,54%, Stamford Bridge 
 Semi-finals second leg , 04-05-2021 ,FALSE,FALSE,FALSE, Manchester City , PSG ,2,0,44%,56%,12,14,5,0,53%,47%,44%,3%,53%, Etihad Stadium 
 Semi-finals first leg , 28-04-2021 ,FALSE,FALSE,FALSE, PSG , Manchester City ,1,2,40%,60%,10,11,4,6,47%,53%,65%,4%,31%, Parc des Princes 
 Semi-finals first leg , 27-04-2021 ,FALSE,FALSE,FALSE, Real Madrid , Chelsea ,1,1,51%,49%,9,11,1,5,49%,52%,61%,4%,35%, Alfredo Di Stéfano 
 Quarter-finals second leg , 14-04-2021 ,FALSE,FALSE,FALSE, Liverpool , Real Madrid ,0,0,57%,43%,15,6,4,2,50%,50%,34%,3%,63%, Anfield 
 Quarter-finals second leg , 14-04-2021 ,FALSE,FALSE,FALSE, Borussia Dortmund , Manchester City ,1,2,38%,62%,10,17,3,5,42%,58%,53%,3%,44%, SIGNAL IDUNA PARK 
 Quarter-finals second leg , 13-04-2021 ,FALSE,FALSE,FALSE, PSG , Bayern Munich ,0,1,44%,56%,10,14,3,5,54%,46%,55%,3%,42%, Parc des Princes 
 Quarter-finals second leg , 13-04-2021 ,FALSE,FALSE,FALSE, Chelsea , FC Porto ,0,1,46%,54%,8,8,1,2,52%,48%,78%,2%,20%, Ramón Sánchez-Pizjuán 
 Quarter-finals first leg , 07-04-2021 ,FALSE,FALSE,FALSE, FC Porto , Chelsea ,0,2,39%,61%,12,6,5,3,62%,38%,26%,3%,71%, Ramón Sánchez-Pizjuán 
 Quarter-finals first leg , 07-04-2021 ,FALSE,FALSE,FALSE, Bayern Munich , PSG ,2,3,64%,36%,31,6,12,5,56%,44%,43%,4%,53%, Allianz Arena 
 Quarter-finals first leg , 06-04-2021 ,FALSE,FALSE,FALSE, Real Madrid , Liverpool ,3,1,45%,55%,16,7,7,1,62%,38%,56%,4%,40%, Alfredo Di Stéfano 
 Quarter-finals first leg , 06-04-2021 ,FALSE,FALSE,FALSE, Manchester City , Borussia Dortmund ,2,1,62%,38%,11,7,5,3,54%,46%,60%,3%,37%, Etihad Stadium 
 Round of 16 second leg , 17-03-2021 ,FALSE,FALSE,FALSE, Chelsea , Atlético Madrid ,2,0,57%,43%,16,10,5,4,52%,48%,54%,5%,41%, Stamford Bridge 
 Round of 16 second leg , 17-03-2021 ,FALSE,FALSE,FALSE, Bayern Munich , Lazio ,2,1,59%,41%,12,5,4,2,53%,47%,84%,2%,14%, Allianz Arena 
 Round of 16 second leg , 16-03-2021 ,FALSE,FALSE,FALSE, Manchester City , B. M‘Gladbach ,2,0,68%,32%,10,6,6,3,55%,45%,82%,2%,16%, Puskás Aréna 
 Round of 16 second leg , 16-03-2021 ,FALSE,FALSE,FALSE, Real Madrid , Atalanta ,3,1,53%,47%,12,13,6,5,54%,46%,65%,3%,32%, Alfredo Di Stéfano 
 Round of 16 second leg , 10-03-2021 ,FALSE,FALSE,FALSE, PSG , Barcelona ,1,1,27%,73%,7,21,3,10,55%,45%,49%,3%,48%, Parc des Princes 
 Round of 16 second leg , 10-03-2021 ,FALSE,FALSE,FALSE, Liverpool , RB Leipzig ,2,0,40%,60%,12,11,7,2,40%,60%,65%,3%,32%, Puskás Aréna 
 Round of 16 second leg , 09-03-2021 ,FALSE,FALSE,FALSE, Juventus , FC Porto ,3,2,69%,31%,31,14,13,7,53%,47%,70%,3%,27%, Allianz Stadium 
 Round of 16 second leg , 09-03-2021 ,FALSE,FALSE,FALSE, Borussia Dortmund , Sevilla ,2,2,31%,69%,9,19,5,8,56%,44%,80%,3%,17%, SIGNAL IDUNA PARK 
 Round of 16 first leg , 24-02-2021 ,FALSE,FALSE,FALSE, Atalanta , Real Madrid ,0,1,31%,69%,2,19,0,4,52%,48%,37%,4%,59%, Gewiss Stadium 
 Round of 16 first leg , 24-02-2021 ,FALSE,FALSE,FALSE, B. M‘Gladbach , Manchester City ,0,2,39%,61%,3,9,1,4,54%,46%,20%,3%,77%, Puskás Aréna 
 Round of 16 first leg , 23-02-2021 ,FALSE,FALSE,FALSE, Atlético Madrid , Chelsea ,0,1,36%,64%,6,11,0,5,58%,42%,55%,6%,39%, National Arena 
 Round of 16 first leg , 23-02-2021 ,FALSE,FALSE,FALSE, Lazio , Bayern Munich ,1,4,43%,57%,14,13,5,7,51%,49%,17%,3%,80%, Olimpico 
 Round of 16 first leg , 17-02-2021 ,FALSE,FALSE,FALSE, FC Porto , Juventus ,2,1,34%,66%,8,12,5,5,51%,49%,19%,3%,78%, Estádio Do Dragão 
 Round of 16 first leg , 17-02-2021 ,FALSE,FALSE,FALSE, Sevilla , Borussia Dortmund ,2,3,66%,34%,12,10,4,5,56%,44%,33%,4%,63%, Ramón Sánchez-Pizjuán 
 Round of 16 first leg , 16-02-2021 ,FALSE,FALSE,FALSE, Barcelona , PSG ,1,4,53%,47%,12,16,4,9,38%,62%,53%,5%,42%, Camp Nou 
 Round of 16 first leg , 16-02-2021 ,FALSE,FALSE,FALSE, RB Leipzig , Liverpool ,0,2,47%,53%,12,10,2,3,42%,58%,37%,5%,58%, Puskás Aréna 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, Real Madrid , B. M‘Gladbach ,2,0,64%,36%,19,7,7,1,55%,45%,67%,4%,29%, Alfredo Di Stéfano 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, Bayern Munich , Lokomotiv Moscow ,2,0,70%,30%,22,7,7,3,53%,47%,91%,2%,7%, Allianz Arena 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, Salzburg , Atlético Madrid ,0,2,58%,42%,18,7,2,4,42%,58%,21%,4%,75%, Red Bull Arena Salzburg 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, Inter , Shakhtar Donetsk ,0,0,57%,43%,20,7,4,3,52%,49%,75%,5%,20%, Giuseppe Meazza 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, Olympiacos , FC Porto ,0,2,57%,43%,7,8,1,3,50%,50%,15%,5%,80%, Georgios Karaiskakis Stadium 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, Manchester City , Marseille ,3,0,53%,47%,15,8,8,2,56%,44%,77%,3%,20%, Etihad Stadium 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, PSG , İstanbul Başakşehir ,5,1,69%,31%,20,10,9,4,66%,34%,85%,3%,12%, Parc des Princes 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, Ajax , Atalanta ,0,1,64%,36%,12,8,2,2,44%,56%,52%,7%,41%, Johan Cruijff Arena 
 Group stage: Matchday 6 , 09-12-2020 ,FALSE,FALSE,FALSE, Midtjylland , Liverpool ,1,1,49%,51%,20,7,7,4,55%,45%,7%,2%,91%, MCH Arena 
 Group stage: Matchday 6 , 08-12-2020 ,FALSE,FALSE,FALSE, Barcelona , Juventus ,0,3,60%,40%,19,9,7,4,51%,50%,49%,5%,46%, Camp Nou 
